Date,Open,High,Low,Close*,Adj. close**,Volume
05 Oct. 2018,2902.54,2909.64,2869.29,2885.57,2885.57,3328980000
04 Oct. 2018,2919.35,2919.78,2883.92,2901.61,2901.61,3496860000
03 Oct. 2018,2931.69,2939.86,2921.36,2925.51,2925.51,3598710000
02 Oct. 2018,2923.80,2931.42,2919.37,2923.43,2923.43,3401880000
01 Oct. 2018,2926.29,2937.06,2917.91,2924.59,2924.59,3364190000
28 Sep. 2018,2910.03,2920.53,2907.50,2913.98,2913.98,3432300000
27 Sep. 2018,2911.65,2927.22,2909.27,2914.00,2914.00,3060850000
26 Sep. 2018,2916.98,2931.15,2903.28,2905.97,2905.97,3388620000
25 Sep. 2018,2921.75,2923.95,2913.70,2915.56,2915.56,3285480000
24 Sep. 2018,2921.83,2923.79,2912.63,2919.37,2919.37,3372210000
21 Sep. 2018,2936.76,2940.91,2927.11,2929.67,2929.67,5607610000
20 Sep. 2018,2919.73,2934.80,2919.73,2930.75,2930.75,3337730000
19 Sep. 2018,2906.60,2912.36,2903.82,2907.95,2907.95,3280020000
18 Sep. 2018,2890.74,2911.17,2890.43,2904.31,2904.31,3074610000
17 Sep. 2018,2903.83,2904.65,2886.16,2888.80,2888.80,2947760000
14 Sep. 2018,2906.38,2908.30,2895.77,2904.98,2904.98,3149800000
13 Sep. 2018,2896.85,2906.76,2896.39,2904.18,2904.18,3254930000
12 Sep. 2018,2888.29,2894.65,2879.20,2888.92,2888.92,3264930000
11 Sep. 2018,2871.57,2892.52,2866.78,2887.89,2887.89,2899660000
10 Sep. 2018,2881.39,2886.93,2875.94,2877.13,2877.13,2731400000
07 Sep. 2018,2868.26,2883.81,2864.12,2871.68,2871.68,2946270000
06 Sep. 2018,2888.64,2892.05,2867.29,2878.05,2878.05,3139590000
05 Sep. 2018,2891.59,2894.21,2876.92,2888.60,2888.60,3241250000
04 Sep. 2018,2896.96,2900.18,2885.13,2896.72,2896.72,3077060000
31 Aug. 2018,2898.37,2906.32,2891.73,2901.52,2901.52,2880260000
30 Aug. 2018,2908.94,2912.46,2895.22,2901.13,2901.13,2802180000
29 Aug. 2018,2900.62,2916.50,2898.40,2914.04,2914.04,2791860000
28 Aug. 2018,2901.45,2903.77,2893.50,2897.52,2897.52,2683190000
27 Aug. 2018,2884.69,2898.25,2884.69,2896.74,2896.74,2854080000
24 Aug. 2018,2862.35,2876.16,2862.35,2874.69,2874.69,2596190000
23 Aug. 2018,2860.29,2868.78,2854.03,2856.98,2856.98,2713910000
22 Aug. 2018,2860.99,2867.54,2856.05,2861.82,2861.82,2689560000
21 Aug. 2018,2861.51,2873.23,2861.32,2862.96,2862.96,3147140000
20 Aug. 2018,2853.93,2859.76,2850.62,2857.05,2857.05,2748020000
17 Aug. 2018,2838.32,2855.63,2833.73,2850.13,2850.13,3024100000
16 Aug. 2018,2831.44,2850.49,2831.44,2840.69,2840.69,3219880000
15 Aug. 2018,2827.95,2827.95,2802.49,2818.37,2818.37,3645070000
14 Aug. 2018,2827.88,2843.11,2826.58,2839.96,2839.96,2976970000
13 Aug. 2018,2835.46,2843.40,2819.88,2821.93,2821.93,3158450000
10 Aug. 2018,2838.90,2842.20,2825.81,2833.28,2833.28,3256040000
09 Aug. 2018,2857.19,2862.48,2851.98,2853.58,2853.58,3047050000
08 Aug. 2018,2856.79,2862.44,2853.09,2857.70,2857.70,2972200000
07 Aug. 2018,2855.92,2863.43,2855.92,2858.45,2858.45,3162770000
06 Aug. 2018,2840.29,2853.29,2835.98,2850.40,2850.40,2874540000
03 Aug. 2018,2829.62,2840.38,2827.37,2840.35,2840.35,3030390000
02 Aug. 2018,2800.48,2829.91,2796.34,2827.22,2827.22,3467380000
01 Aug. 2018,2821.17,2825.83,2805.85,2813.36,2813.36,3496990000
31 Jul. 2018,2809.73,2824.46,2808.06,2816.29,2816.29,3892100000
30 Jul. 2018,2819.00,2821.74,2798.11,2802.60,2802.60,3245770000
27 Jul. 2018,2842.35,2843.17,2808.34,2818.82,2818.82,3415710000
26 Jul. 2018,2835.49,2845.57,2835.26,2837.44,2837.44,3653330000
25 Jul. 2018,2817.73,2848.03,2817.73,2846.07,2846.07,3553010000
24 Jul. 2018,2820.68,2829.99,2811.12,2820.40,2820.40,3417530000
23 Jul. 2018,2799.17,2808.61,2795.14,2806.98,2806.98,2907430000
20 Jul. 2018,2804.55,2809.70,2800.01,2801.83,2801.83,3230210000
31 Aug. 2018,2898.37,2906.32,2891.73,2901.52,2901.52,2880260000
30 Aug. 2018,2908.94,2912.46,2895.22,2901.13,2901.13,2802180000
29 Aug. 2018,2900.62,2916.50,2898.40,2914.04,2914.04,2791860000
28 Aug. 2018,2901.45,2903.77,2893.50,2897.52,2897.52,2683190000
27 Aug. 2018,2884.69,2898.25,2884.69,2896.74,2896.74,2854080000
24 Aug. 2018,2862.35,2876.16,2862.35,2874.69,2874.69,2596190000
23 Aug. 2018,2860.29,2868.78,2854.03,2856.98,2856.98,2713910000
22 Aug. 2018,2860.99,2867.54,2856.05,2861.82,2861.82,2689560000
21 Aug. 2018,2861.51,2873.23,2861.32,2862.96,2862.96,3147140000
20 Aug. 2018,2853.93,2859.76,2850.62,2857.05,2857.05,2748020000
17 Aug. 2018,2838.32,2855.63,2833.73,2850.13,2850.13,3024100000
16 Aug. 2018,2831.44,2850.49,2831.44,2840.69,2840.69,3219880000
15 Aug. 2018,2827.95,2827.95,2802.49,2818.37,2818.37,3645070000
14 Aug. 2018,2827.88,2843.11,2826.58,2839.96,2839.96,2976970000
13 Aug. 2018,2835.46,2843.40,2819.88,2821.93,2821.93,3158450000
10 Aug. 2018,2838.90,2842.20,2825.81,2833.28,2833.28,3256040000
09 Aug. 2018,2857.19,2862.48,2851.98,2853.58,2853.58,3047050000
08 Aug. 2018,2856.79,2862.44,2853.09,2857.70,2857.70,2972200000
07 Aug. 2018,2855.92,2863.43,2855.92,2858.45,2858.45,3162770000
06 Aug. 2018,2840.29,2853.29,2835.98,2850.40,2850.40,2874540000
03 Aug. 2018,2829.62,2840.38,2827.37,2840.35,2840.35,3030390000
02 Aug. 2018,2800.48,2829.91,2796.34,2827.22,2827.22,3467380000
01 Aug. 2018,2821.17,2825.83,2805.85,2813.36,2813.36,3496990000
31 Jul. 2018,2809.73,2824.46,2808.06,2816.29,2816.29,3892100000
30 Jul. 2018,2819.00,2821.74,2798.11,2802.60,2802.60,3245770000
27 Jul. 2018,2842.35,2843.17,2808.34,2818.82,2818.82,3415710000
26 Jul. 2018,2835.49,2845.57,2835.26,2837.44,2837.44,3653330000
25 Jul. 2018,2817.73,2848.03,2817.73,2846.07,2846.07,3553010000
24 Jul. 2018,2820.68,2829.99,2811.12,2820.40,2820.40,3417530000
23 Jul. 2018,2799.17,2808.61,2795.14,2806.98,2806.98,2907430000
20 Jul. 2018,2804.55,2809.70,2800.01,2801.83,2801.83,3230210000
19 Jul. 2018,2809.37,2812.05,2799.77,2804.49,2804.49,3266700000
18 Jul. 2018,2811.35,2816.76,2805.89,2815.62,2815.62,3089780000
17 Jul. 2018,2789.34,2814.19,2789.24,2809.55,2809.55,3050730000
16 Jul. 2018,2797.36,2801.19,2793.39,2798.43,2798.43,2812230000
13 Jul. 2018,2796.93,2804.53,2791.69,2801.31,2801.31,2614000000
12 Jul. 2018,2783.14,2799.22,2781.53,2798.29,2798.29,2821690000
11 Jul. 2018,2779.82,2785.91,2770.77,2774.02,2774.02,2964740000
10 Jul. 2018,2788.56,2795.58,2786.24,2793.84,2793.84,3063850000
09 Jul. 2018,2775.62,2784.65,2770.73,2784.17,2784.17,3050040000
06 Jul. 2018,2737.68,2764.41,2733.52,2759.82,2759.82,2554780000
05 Jul. 2018,2724.19,2737.83,2716.02,2736.61,2736.61,2953420000
03 Jul. 2018,2733.27,2736.58,2711.16,2713.22,2713.22,1911470000
02 Jul. 2018,2704.95,2727.26,2698.95,2726.71,2726.71,3073650000
